Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1103,dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1104,dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1105,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1106,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1107,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1108,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1109,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1110,heart attack, vomiting, breathlessness, sweating, chest_pain
1111,heart attack, vomiting, breathlessness, sweating, chest_pain
1112,heart attack, breathlessness, sweating, chest_pain,
1113,heart attack, vomiting, sweating, chest_pain,
1114,heart attack, vomiting, breathlessness, chest_pain,
1115,heart attack, vomiting, breathlessness, sweating,
1116,heart attack, vomiting, breathlessness, sweating, chest_pain
1117,heart attack, breathlessness, sweating, chest_pain,
1118,heart attack, vomiting, sweating, chest_pain,
1119,heart attack, vomiting, breathlessness, chest_pain,
1120,varicose veins, fatigue, cramps, bruising, obesity
1121,varicose veins, fatigue, cramps, bruising, obesity
1122,varicose veins, cramps, bruising, obesity, swollen_legs
1123,varicose veins, fatigue, bruising, obesity, swollen_legs
1124,varicose veins, fatigue, cramps, obesity, swollen_legs
1125,varicose veins, fatigue, cramps, bruising, swollen_legs
1126,varicose veins, fatigue, cramps, bruising, obesity
1127,varicose veins, fatigue, cramps, bruising, obesity
1128,varicose veins, fatigue, cramps, bruising, obesity
1129,varicose veins, fatigue, cramps, bruising, obesity
1130,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1131,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1132,hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1133,hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1134,hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
1135,hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
1136,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
1137,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1138,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1139,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1140,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1141,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1142,hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
1143,hyperthyroidism, fatigue, weight_loss, restlessness, sweating
1144,hyperthyroidism, fatigue, mood_swings, restlessness, sweating
1145,hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
1146,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1147,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1148,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1149,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1150,hypoglycemia, vomiting, fatigue, anxiety, sweating
1151,hypoglycemia, vomiting, fatigue, anxiety, sweating
1152,hypoglycemia, vomiting, fatigue, anxiety, sweating
1153,hypoglycemia, fatigue, anxiety, sweating, headache
1154,hypoglycemia, vomiting, anxiety, sweating, headache
1155,hypoglycemia, vomiting, fatigue, sweating, headache
1156,hypoglycemia, vomiting, fatigue, anxiety, headache
1157,hypoglycemia, vomiting, fatigue, anxiety, sweating
1158,hypoglycemia, vomiting, fatigue, anxiety, sweating
1159,hypoglycemia, vomiting, fatigue, anxiety, sweating
1160,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1161,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1162,osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
1163,osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
1164,osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
1165,osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
1166,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1167,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1168,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1169,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1170,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1171,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1172,arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
1173,arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
1174,arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
1175,arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
1176,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1177,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1178,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1179,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1180,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
1181,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
1182,(vertigo) paroymsal  positional vertigo, headache, nausea, spinning_movements, loss_of_balance
1183,(vertigo) paroymsal  positional vertigo, vomiting, nausea, spinning_movements, loss_of_balance
1184,(vertigo) paroymsal  positional vertigo, vomiting, headache, spinning_movements, loss_of_balance
1185,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, loss_of_balance
1186,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
1187,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
1188,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
1189,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, loss_of_balance
1190,acne, skin_rash, pus_filled_pimples, blackheads, scurring
1191,acne, skin_rash, pus_filled_pimples, blackheads, scurring
1192,acne, pus_filled_pimples, blackheads, scurring,
1193,acne, skin_rash, blackheads, scurring,
1194,acne, skin_rash, pus_filled_pimples, scurring,
1195,acne, skin_rash, pus_filled_pimples, blackheads,
1196,acne, skin_rash, pus_filled_pimples, blackheads, scurring
1197,acne, skin_rash, pus_filled_pimples, blackheads,
1198,acne, skin_rash, pus_filled_pimples, scurring,
1199,acne, skin_rash, blackheads, scurring,
1200,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1201,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1202,urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1203,urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
1204,urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1205,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
1206,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1207,urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1208,urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1209,urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1210,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1211,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1212,psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
1213,psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
1214,psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
1215,psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
1216,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1217,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1218,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1219,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1220,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1221,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1222,impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
1223,impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1224,impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1225,impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
1226,impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
1227,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1228,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1229,impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1230,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1231,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
1232,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
1233,fungal infection,itching, skin_rash, dischromic _patches,
1234,fungal infection,itching, skin_rash, nodal_skin_eruptions,
1235,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
1236,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
1237,fungal infection,itching, skin_rash, dischromic _patches,
1238,fungal infection,itching, skin_rash, nodal_skin_eruptions,
1239,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1240,allergy, continuous_sneezing, shivering, chills, watering_from_eyes
1241,allergy, shivering, chills, watering_from_eyes,
1242,allergy, continuous_sneezing, chills, watering_from_eyes,
1243,allergy, continuous_sneezing, shivering, watering_from_eyes,
1244,allergy, continuous_sneezing, shivering, chills,
1245,allergy, shivering, chills, watering_from_eyes,
1246,allergy, continuous_sneezing, chills, watering_from_eyes,
1247,allergy, continuous_sneezing, shivering, watering_from_eyes,
1248,allergy, continuous_sneezing, shivering, chills,
1249,allergy, continuous_sneezing, shivering, chills, watering_from_eyes
1250,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
1251,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
1252,gerd, stomach_pain, acidity, vomiting, cough
1253,gerd, stomach_pain, acidity, ulcers_on_tongue, cough
1254,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
1255,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
1256,gerd, acidity, ulcers_on_tongue, vomiting, cough
1257,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
1258,gerd, stomach_pain, acidity, vomiting, cough
1259,gerd, stomach_pain, acidity, ulcers_on_tongue, cough
1260,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1261,chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
1262,chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
1263,chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
1264,chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
1265,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1266,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1267,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1268,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1269,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1270,drug reaction,itching, skin_rash, stomach_pain, burning_micturition
1271,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination
1272,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination
1273,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination
1274,drug reaction,itching, skin_rash, stomach_pain, burning_micturition
1275,drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
1276,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination
1277,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination
1278,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination
1279,drug reaction,itching, skin_rash, stomach_pain, burning_micturition
1280,peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1281,peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
1282,peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
1283,peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1284,peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
1285,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
1286,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1287,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1288,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1289,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1290,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1291,aids, patches_in_throat, high_fever, extra_marital_contacts,
1292,aids, muscle_wasting, high_fever, extra_marital_contacts,
1293,aids, muscle_wasting, patches_in_throat, extra_marital_contacts,
1294,aids, muscle_wasting, patches_in_throat, high_fever,
1295,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1296,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1297,aids, patches_in_throat, high_fever, extra_marital_contacts,
1298,aids, muscle_wasting, high_fever, extra_marital_contacts,
1299,aids, muscle_wasting, patches_in_throat, high_fever,
1300,diabetes , fatigue, weight_loss, restlessness, lethargy
1301,diabetes , fatigue, weight_loss, restlessness, lethargy
1302,diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
1303,diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
1304,diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
1305,diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
1306,diabetes , fatigue, weight_loss, restlessness, lethargy
1307,diabetes , fatigue, weight_loss, restlessness, lethargy
1308,diabetes , fatigue, weight_loss, restlessness, lethargy
1309,diabetes , fatigue, weight_loss, restlessness, lethargy
1310,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1311,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1312,gastroenteritis, sunken_eyes, dehydration, diarrhoea,
1313,gastroenteritis, vomiting, dehydration, diarrhoea,
1314,gastroenteritis, vomiting, sunken_eyes, diarrhoea,
1315,gastroenteritis, vomiting, sunken_eyes, dehydration,
1316,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1317,gastroenteritis, sunken_eyes, dehydration, diarrhoea,
1318,gastroenteritis, vomiting, dehydration, diarrhoea,
1319,gastroenteritis, vomiting, sunken_eyes, diarrhoea,
1320,bronchial asthma, fatigue, cough, high_fever, breathlessness
1321,bronchial asthma, cough, high_fever, breathlessness, family_history
1322,bronchial asthma, fatigue, high_fever, breathlessness, family_history
1323,bronchial asthma, fatigue, cough, breathlessness, family_history
1324,bronchial asthma, fatigue, cough, high_fever, family_history
1325,bronchial asthma, fatigue, cough, high_fever, breathlessness
1326,bronchial asthma, fatigue, cough, high_fever, breathlessness
1327,bronchial asthma, fatigue, cough, high_fever, breathlessness
1328,bronchial asthma, cough, high_fever, breathlessness, family_history
1329,bronchial asthma, fatigue, high_fever, breathlessness, family_history
1330,hypertension , headache, chest_pain, dizziness, loss_of_balance
1331,hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1332,hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1333,hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1334,hypertension , headache, chest_pain, dizziness, lack_of_concentration
1335,hypertension , headache, chest_pain, dizziness, loss_of_balance
1336,hypertension , headache, chest_pain, dizziness, loss_of_balance
1337,hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1338,hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1339,hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1340,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1341,migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
1342,migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
1343,migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
1344,migraine, acidity, indigestion, headache, excessive_hunger
1345,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1346,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1347,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1348,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1349,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1350,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1351,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1352,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1353,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1354,cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
1355,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
1356,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1357,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1358,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1359,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1360,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1361,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1362,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
1363,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
1364,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
1365,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
1366,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1367,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
1368,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
1369,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
1370,jaundice,itching, vomiting, fatigue, weight_loss
1371,jaundice,itching, vomiting, fatigue, weight_loss
1372,jaundice, vomiting, fatigue, weight_loss, high_fever
1373,jaundice,itching, fatigue, weight_loss, high_fever
1374,jaundice,itching, vomiting, weight_loss, high_fever
1375,jaundice,itching, vomiting, fatigue, high_fever
1376,jaundice,itching, vomiting, fatigue, weight_loss
1377,jaundice,itching, vomiting, fatigue, weight_loss
1378,jaundice,itching, vomiting, fatigue, weight_loss
1379,jaundice,itching, vomiting, fatigue, weight_loss
1380,malaria, chills, vomiting, high_fever, sweating
1381,malaria, chills, vomiting, high_fever, sweating
1382,malaria, chills, vomiting, high_fever, sweating
1383,malaria, vomiting, high_fever, sweating, headache
1384,malaria, chills, high_fever, sweating, headache
1385,malaria, chills, vomiting, sweating, headache
1386,malaria, chills, vomiting, high_fever, headache
1387,malaria, chills, vomiting, high_fever, sweating
1388,malaria, chills, vomiting, high_fever, sweating
1389,malaria, chills, vomiting, high_fever, sweating
1390,chicken pox,itching, skin_rash, fatigue, lethargy
1391,chicken pox, skin_rash, fatigue, lethargy, high_fever
1392,chicken pox,itching, fatigue, lethargy, high_fever
1393,chicken pox,itching, skin_rash, lethargy, high_fever
1394,chicken pox,itching, skin_rash, fatigue, high_fever
1395,chicken pox,itching, skin_rash, fatigue, lethargy
1396,chicken pox,itching, skin_rash, fatigue, lethargy
1397,chicken pox,itching, skin_rash, fatigue, lethargy
1398,chicken pox,itching, skin_rash, fatigue, lethargy
1399,chicken pox,itching, skin_rash, fatigue, lethargy
1400,dengue, skin_rash, chills, joint_pain, vomiting
1401,dengue, skin_rash, chills, joint_pain, vomiting
1402,dengue, skin_rash, chills, joint_pain, vomiting
1403,dengue, skin_rash, chills, joint_pain, vomiting
1404,dengue, chills, joint_pain, vomiting, fatigue
1405,dengue, skin_rash, joint_pain, vomiting, fatigue
1406,dengue, skin_rash, chills, vomiting, fatigue
1407,dengue, skin_rash, chills, joint_pain, fatigue
1408,dengue, skin_rash, chills, joint_pain, vomiting
1409,dengue, skin_rash, chills, joint_pain, vomiting
1410,typhoid, chills, vomiting, fatigue, high_fever
1411,typhoid, chills, vomiting, fatigue, high_fever
1412,typhoid, chills, vomiting, fatigue, high_fever
1413,typhoid, chills, vomiting, fatigue, high_fever
1414,typhoid, chills, vomiting, fatigue, high_fever
1415,typhoid, chills, vomiting, fatigue, high_fever
1416,typhoid, chills, vomiting, fatigue, high_fever
1417,typhoid, chills, vomiting, fatigue, high_fever
1418,typhoid, chills, vomiting, fatigue, high_fever
1419,typhoid, chills, fatigue, high_fever, headache
1420,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
1421,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
1422,hepatitis a, vomiting, yellowish_skin, dark_urine, nausea
1423,hepatitis a, joint_pain, yellowish_skin, dark_urine, nausea
1424,hepatitis a, joint_pain, vomiting, dark_urine, nausea
1425,hepatitis a, joint_pain, vomiting, yellowish_skin, nausea
1426,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
1427,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
1428,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
1429,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
1430,hepatitis b,itching, fatigue, lethargy, yellowish_skin
1431,hepatitis b,itching, fatigue, lethargy, yellowish_skin
1432,hepatitis b, fatigue, lethargy, yellowish_skin, dark_urine
1433,hepatitis b,itching, lethargy, yellowish_skin, dark_urine
1434,hepatitis b,itching, fatigue, yellowish_skin, dark_urine
1435,hepatitis b,itching, fatigue, lethargy, dark_urine
1436,hepatitis b,itching, fatigue, lethargy, yellowish_skin
1437,hepatitis b,itching, fatigue, lethargy, yellowish_skin
1438,hepatitis b,itching, fatigue, lethargy, yellowish_skin
1439,hepatitis b,itching, fatigue, lethargy, yellowish_skin
1440,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
1441,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
1442,hepatitis c, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
1443,hepatitis c, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
1444,hepatitis c, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
1445,hepatitis c, fatigue, yellowish_skin, nausea, yellowing_of_eyes
1446,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
1447,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
1448,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
1449,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
1450,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
1451,hepatitis d, vomiting, fatigue, yellowish_skin, dark_urine
1452,hepatitis d, joint_pain, fatigue, yellowish_skin, dark_urine
1453,hepatitis d, joint_pain, vomiting, yellowish_skin, dark_urine
1454,hepatitis d, joint_pain, vomiting, fatigue, dark_urine
1455,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
1456,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
1457,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
1458,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
1459,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
1460,hepatitis e, joint_pain, vomiting, fatigue, high_fever
1461,hepatitis e, joint_pain, vomiting, fatigue, high_fever
1462,hepatitis e, joint_pain, vomiting, fatigue, high_fever
1463,hepatitis e, vomiting, fatigue, high_fever, yellowish_skin
1464,hepatitis e, joint_pain, fatigue, high_fever, yellowish_skin
1465,hepatitis e, joint_pain, vomiting, high_fever, yellowish_skin
1466,hepatitis e, joint_pain, vomiting, fatigue, yellowish_skin
1467,hepatitis e, joint_pain, vomiting, fatigue, high_fever
1468,hepatitis e, joint_pain, vomiting, fatigue, high_fever
1469,hepatitis e, joint_pain, vomiting, fatigue, high_fever
1470,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1471,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1472,alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1473,alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1474,alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
1475,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
1476,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1477,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1478,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1479,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1480,tuberculosis, chills, vomiting, fatigue, weight_loss
1481,tuberculosis, chills, vomiting, fatigue, weight_loss
1482,tuberculosis, vomiting, fatigue, weight_loss, cough
1483,tuberculosis, chills, fatigue, weight_loss, cough
1484,tuberculosis, chills, vomiting, weight_loss, cough
1485,tuberculosis, chills, vomiting, fatigue, cough
1486,tuberculosis, chills, vomiting, fatigue, weight_loss
1487,tuberculosis, chills, vomiting, fatigue, weight_loss
1488,tuberculosis, chills, vomiting, fatigue, weight_loss
1489,tuberculosis, chills, vomiting, fatigue, weight_loss
1490,common cold, continuous_sneezing, chills, fatigue, cough
1491,common cold, continuous_sneezing, chills, fatigue, cough
1492,common cold, chills, fatigue, cough, high_fever
1493,common cold, continuous_sneezing, fatigue, cough, high_fever
1494,common cold, continuous_sneezing, chills, cough, high_fever
1495,common cold, continuous_sneezing, chills, fatigue, high_fever
1496,common cold, continuous_sneezing, chills, fatigue, cough
1497,common cold, continuous_sneezing, chills, fatigue, cough
1498,common cold, continuous_sneezing, chills, fatigue, cough
1499,common cold, continuous_sneezing, chills, fatigue, cough
1500,pneumonia, chills, fatigue, cough, high_fever
1501,pneumonia, chills, fatigue, cough, high_fever
1502,pneumonia, chills, fatigue, cough, high_fever
1503,pneumonia, fatigue, cough, high_fever, breathlessness
1504,pneumonia, chills, cough, high_fever, breathlessness
1505,pneumonia, chills, fatigue, high_fever, breathlessness
1506,pneumonia, chills, fatigue, cough, breathlessness
1507,pneumonia, chills, fatigue, cough, high_fever
1508,pneumonia, chills, fatigue, cough, high_fever
1509,pneumonia, chills, fatigue, cough, high_fever
1510,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1511,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1512,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1513,dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1514,dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1515,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1516,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1517,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
